book_id,title,author,genre,year,added_date
1,The Ethnic Cleansing of Palestine,Ilan Pappe,Non-Fiction,2006,2025-03-20
2,"A History of Modern Palestine: One Land, Two Peoples",Ilan Pappe,Non-Fiction,2004,2025-03-20
3,The Holocaust Industry: Reflections on the Exploitation of Jewish Suffering,Norman Finkelstein,Non-Fiction,2000,2025-03-20
4,Image and Reality of the Israel-Palestine Conflict,Norman Finkelstein,Non-Fiction,2003,2025-03-20
5,The Question of Palestine,Edward Said,Non-Fiction,1979,2025-03-20
6,Harry Potter and the Sorcerer's Stone,J.K. Rowling,Fiction,1997,2025-03-20
7,Harry Potter and the Chamber of Secrets,J.K. Rowling,Fiction,1998,2025-03-20
8,The Lord of the Rings: The Fellowship of the Ring,J.R.R. Tolkien,Fiction,1954,2025-03-20
9,The Lord of the Rings: The Two Towers,J.R.R. Tolkien,Fiction,1954,2025-03-20
10,The Lord of the Rings: The Return of the King,J.R.R. Tolkien,Fiction,1955,2025-03-20
11,The Hobbit,J.R.R. Tolkien,Fiction,1937,2025-03-20
12,A Game of Thrones,George R.R. Martin,Fiction,1996,2025-03-20
13,A Clash of Kings,George R.R. Martin,Fiction,1998,2025-03-20
14,A Storm of Swords,George R.R. Martin,Fiction,2000,2025-03-20
15,The Catcher in the Rye,J.D. Salinger,Fiction,1951,2025-03-20
16,Fahrenheit 451,Ray Bradbury,Fiction,1953,2025-03-20
17,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",C.S. Lewis,Fiction,1950,2025-03-20
18,Animal Farm,George Orwell,Fiction,1945,2025-03-20
19,The Da Vinci Code,Dan Brown,Fiction,2003,2025-03-20
20,The Alchemist,Paulo Coelho,Fiction,1988,2025-03-20
